year,prison,release,probation
2017.999999972,0.0,0.0,0.0
2018.083333305,0.0,0.0,0.0
2018.166666638,0.0,0.0,0.0
2018.249999971,0.0,0.0,0.0
2018.333333304,0.0,0.0,0.0
2018.416666637,0.0,0.0,0.0
2018.49999997,0.0,0.0,0.0
2018.583333303,0.0,0.0,0.0
2018.666666636,0.0,0.0,0.0
2018.749999969,0.0,0.0,0.0
2018.833333302,0.0,0.0,0.0
2018.916666635,0.0,0.0,0.0
2018.999999968,0.0,0.0,0.0
2019.083333301,0.0,0.0,0.0
2019.166666634,0.0,0.0,0.0
2019.249999967,0.0,0.0,0.0
2019.3333333,0.0,0.0,0.0
2019.416666633,0.0,0.0,0.0
2019.499999966,0.0,0.0,0.0
2019.583333299,0.0,0.0,0.0
2019.666666632,0.0,0.0,0.0
2019.749999965,0.0,0.0,0.0
2019.833333298,0.0,0.0,0.0
2019.916666631,0.0,0.0,0.0
2019.999999964,0.0,0.0,0.0
2020.083333297,0.0,0.0,0.0
2020.16666663,0.0,0.0,0.0
2020.249999963,0.0,0.0,0.0
2020.333333296,0.0,0.0,0.0
2020.416666629,0.0,0.0,0.0
2020.499999962,0.0,0.0,0.0
2020.583333295,0.0,0.0,0.0
2020.666666628,0.0,0.0,0.0
2020.749999961,0.0,0.0,0.0
2020.833333294,0.0,0.0,0.0
2020.916666627,0.0,0.0,0.0
2020.99999996,0.0,0.0,0.0
2021.083333293,0.0,0.0,0.0
2021.166666626,0.0,0.0,0.0
2021.249999959,0.0,0.0,0.0
2021.333333292,746.9512434975835,0.0,-49.14068141505088
2021.416666625,3097.2735254729946,0.0,-203.76450113927046
2021.499999958,7047.734260409891,0.0,-463.6587926915856
2021.583333291,12597.426868545666,0.0,-828.763912400639
2021.666666624,21426.960191193168,0.0,-1409.6443417171015
2021.749999957,88327.03389493411,0.0,-5810.889915207382
2021.83333329,281840.2493593164,0.0,-18541.805411619687
2021.916666623,603653.109485058,0.0,-39713.34307352531
2021.999999956,925040.5849674176,0.0,-60856.89541440314
2022.083333289,1245994.0078475007,0.0,-81971.89218363454
2022.166666622,1566493.4939540897,0.0,-103057.02523401946
2022.249999955,1886461.709325654,0.0,-124107.20689153505
2022.333333288,2208142.017550202,0.0,-145270.02434166468
2022.416666621,2534563.4594809036,0.0,-166744.7531865353
2022.499999954,2868189.3671642523,0.0,-188693.45198202264
2022.583333287,3213079.345564373,0.0,-211383.19544938506
2022.66666662,3572781.273903142,0.0,-235047.39270646052
2022.749999953,3987483.80412346,0.0,-262329.9889315966
2022.833333286,4490466.605161362,0.0,-295420.39869525126
2022.916666619,5082162.681613832,0.0,-334347.10865528014
2022.999999952,5672988.13886236,0.0,-373216.54202248453
2023.083333285,6262794.310265936,-0.0,-411977.34145655186
2023.166666618,6851381.907665263,-0.0,-450568.72605339176
2023.249999951,7438283.20862628,-0.0,-488960.10505696543
2023.333333284,8026118.55754244,-0.0,-527323.9170738932
2023.416666617,8619561.120144082,-0.0,-565874.0558989034
2023.49999995,9215807.538445232,-0.0,-601376.3321807686
2023.583333283,9809729.269741172,-0.0,-629678.127868101
2023.666666616,10403372.239177354,-0.0,-650820.1668431483
2023.749999949,11027904.27628584,-0.0,-674018.0244244392
2023.833333282,11694213.703768507,-0.0,-699988.5078914334
2023.916666615,12402331.885235304,-0.0,-728734.7873978138
2023.999999948,13109352.655105604,-0.0,-757438.4416015669
2024.083333281,13814854.378901957,-0.0,-785951.019401958
2024.166666614,14518289.636985896,-0.0,-814072.671438651
2024.249999947,15220745.290771471,-0.0,-841737.7685003778
2024.33333328,15926363.804963615,-0.0,-868992.8656557018
2024.416666613,16643430.384833325,-0.0,-896194.9053920258
2024.499999946,17365147.078529354,-0.0,-920964.6561961772
2024.583333279,18079568.779704038,-0.0,-941045.3775633421
2024.666666612,18787436.63594297,-0.0,-956471.113874382
2024.749999945,19510627.41972704,-0.0,-972951.012995253
2024.833333278,20251973.44372614,-0.0,-990673.2353235001
2024.916666611,21011425.66926698,-0.0,-1009638.1992748355
2024.999999944,21769846.993553434,-0.0,-1028612.5380039966
2025.083333277,22526848.324338853,-0.0,-1047439.3737277642
2025.16666661,23282038.140012253,-0.0,-1065837.6759110054
2025.249999943,24038152.868052818,-0.0,-1083687.784633977
2025.333333276,24800932.871479016,-0.0,-1101088.1584869074
2025.416666609,25579310.175005034,-0.0,-1118522.5164608438
2025.499999942,26364773.040453073,-0.0,-1135175.079132091
2025.583333275,27144217.809457798,-0.0,-1149953.7889849218
2025.666666608,27917801.140327808,-0.0,-1162874.4808101822
2025.749999941,28699804.448558137,-0.0,-1176408.7150035766
2025.833333274,29491138.353354063,-0.0,-1190616.9189713805
2025.916666607,30291695.970476713,-0.0,-1205492.1155526973
2025.99999994,31091037.271477394,-0.0,-1220263.0643745405
2026.083333273,31888697.274870474,-0.0,-1234655.8954777936
2026.166666606,32684165.17016286,-0.0,-1248174.8323863535
2026.249999939,33481324.423725568,-0.0,-1260889.5828140555
2026.333333272,34286957.530269764,-0.0,-1273344.7940676254
2026.416666605,35108180.83090114,-0.0,-1285981.2458773328
2026.499999938,35935921.13627842,-0.0,-1298624.6103146716
2026.583333271,36759488.40439123,-0.0,-1310681.9608377337
2026.666666604,37578930.52194156,-0.0,-1322164.0279522547
2026.749999937,38403984.76423222,-0.0,-1334077.8319862531
2026.83333327,39235215.50696251,-0.0,-1346447.205751573
2026.916666603,40072486.62476131,-0.0,-1359226.1810538247
