crime;admissions;releases;total
arson;40;46;146
assault;2,264;2,346;5,404
auto_theft;862;793;1,840
burglary_or_criminal_trespass;1,539;1,652;3,111
child_or_adult_abuse;182;154;299
child_molestation;194;202;1,728
criminal_damage;143;140;163
domestic_violence;212;238;168
drug_possession;3,610;3,291;3,570
drug_trafficking;2,210;2,724;5,707
dui;1,290;1,426;1,598
escape;122;108;167
forgery;282;384;417
fraud;102;98;288
identity_theft;163;205;347
kidnapping;185;224;1,366
manslaughter_or_neg_homicide;118;133;757
murder;134;124;3,077
other;956;972;1,507
rape_or_sexual_assault;82;67;565
robbery;837;875;3,568
sex_offense;673;564;2,762
theft;912;977;1,076
trafficking_in_stolen_property;275;328;720
weapons_offense;875;893;1,849
